"Group","Indicator","Units","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12"
"Hawaii ISL visitors","Visitor arrivals","persons","159,312","141,968","158,260","139,871","130,213","155,217","160,836","141,621","128,617","146,002","124,356","166,315"
"Maui visitors","Visitor arrivals","persons","202,416","200,205","235,672","207,590","195,334","226,981","234,805","204,990","184,201","179,459","200,823","243,687"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
