"Group","Indicator","Units","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12"
"Hawaii ISL visitors","LOS on Hawaii Island","days","8.8","7.8","7.5","7.4","7.3","7.4","7.4","7.1","6.6","6.9","7.5","8.1"
"Maui visitors","LOS on Maui","days","8.9","8.2","7.8","7.5","7.4","7.6","7.6","7.3","7.2","7.3","8.1","8.3"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
