"Indicator","Market","Destination","Units","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12"
"Expenditure","Air total","Maui Island","$ mil","534.88","535.06","536.21","442.68","414.12","511.51","510.90","431.20","436.44","437.01","522.65","658.91"
"Expenditure","Air total","Hawaii Island","$ mil","308.42","271.20","273.67","247.63","229.57","259.82","284.41","237.26","228.84","279.08","254.51","359.62"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
